sense	number	antisense	bp	
Adenovirus:Type_37_Strain_GW_[76-19026]:1391:+	1	Adenovirus:Type_37_Strain_GW_[76-19026]:1393:-	100	
Adenovirus:Type_37_Strain_GW_[76-19026]:1:+	2	Adenovirus:Type_37_Strain_GW_[76-19026]:696:-	150	
Adenovirus:Type_37_Strain_GW_[76-19026]:2:+	3	Adenovirus:Type_37_Strain_GW_[76-19026]:697:-	200	
Adenovirus:Type_37_Strain_GW_[76-19026]:3:+	4	Adenovirus:Type_37_Strain_GW_[76-19026]:698:-	250	
Adenovirus:Type_37_Strain_GW_[76-19026]:4:+	5	Adenovirus:Type_37_Strain_GW_[76-19026]:699:-	300	
Adenovirus:Type_37_Strain_GW_[76-19026]:5:+	6	Adenovirus:Type_37_Strain_GW_[76-19026]:700:-	350	
Adenovirus:Type_37_Strain_GW_[76-19026]:6:+	7	Adenovirus:Type_37_Strain_GW_[76-19026]:701:-	400	
Adenovirus:Type_37_Strain_GW_[76-19026]:7:+	8	Adenovirus:Type_37_Strain_GW_[76-19026]:702:-	450	
Adenovirus:Type_37_Strain_GW_[76-19026]:8:+	9	Adenovirus:Type_37_Strain_GW_[76-19026]:703:-	500	
Adenovirus:Type_37_Strain_GW_[76-19026]:9:+	10	Adenovirus:Type_37_Strain_GW_[76-19026]:704:-	550	
Adenovirus:Type_37_Strain_GW_[76-19026]:10:+	11	Adenovirus:Type_37_Strain_GW_[76-19026]:705:-	600	
Adenovirus:Type_37_Strain_GW_[76-19026]:11:+	12	Adenovirus:Type_37_Strain_GW_[76-19026]:706:-	650	
Adenovirus:Type_37_Strain_GW_[76-19026]:12:+	13	Adenovirus:Type_37_Strain_GW_[76-19026]:707:-	700	
Adenovirus:Type_37_Strain_GW_[76-19026]:13:+	14	Adenovirus:Type_37_Strain_GW_[76-19026]:708:-	750	
Adenovirus:Type_37_Strain_GW_[76-19026]:14:+	15	Adenovirus:Type_37_Strain_GW_[76-19026]:709:-	800	
Adenovirus:Type_37_Strain_GW_[76-19026]:15:+	16	Adenovirus:Type_37_Strain_GW_[76-19026]:710:-	850	
Adenovirus:Type_37_Strain_GW_[76-19026]:16:+	17	Adenovirus:Type_37_Strain_GW_[76-19026]:711:-	900	
Adenovirus:Type_37_Strain_GW_[76-19026]:17:+	18	Adenovirus:Type_37_Strain_GW_[76-19026]:712:-	950	
Adenovirus:Type_37_Strain_GW_[76-19026]:18:+	19	Adenovirus:Type_37_Strain_GW_[76-19026]:713:-	1000	
Adenovirus:Type_37_Strain_GW_[76-19026]:19:+	20	Adenovirus:Type_37_Strain_GW_[76-19026]:714:-	1050	
Adenovirus:Type_37_Strain_GW_[76-19026]:20:+	21	Adenovirus:Type_37_Strain_GW_[76-19026]:715:-	1100	
Adenovirus:Type_37_Strain_GW_[76-19026]:21:+	22	Adenovirus:Type_37_Strain_GW_[76-19026]:716:-	1150	
Adenovirus:Type_37_Strain_GW_[76-19026]:22:+	23	Adenovirus:Type_37_Strain_GW_[76-19026]:717:-	1200	
Adenovirus:Type_37_Strain_GW_[76-19026]:23:+	24	Adenovirus:Type_37_Strain_GW_[76-19026]:718:-	1250	
Adenovirus:Type_37_Strain_GW_[76-19026]:24:+	25	Adenovirus:Type_37_Strain_GW_[76-19026]:719:-	1300	
Adenovirus:Type_37_Strain_GW_[76-19026]:25:+	26	Adenovirus:Type_37_Strain_GW_[76-19026]:720:-	1350	
Adenovirus:Type_37_Strain_GW_[76-19026]:26:+	27	Adenovirus:Type_37_Strain_GW_[76-19026]:721:-	1400	
Adenovirus:Type_37_Strain_GW_[76-19026]:27:+	28	Adenovirus:Type_37_Strain_GW_[76-19026]:722:-	1450	
Adenovirus:Type_37_Strain_GW_[76-19026]:28:+	29	Adenovirus:Type_37_Strain_GW_[76-19026]:723:-	1500	
Adenovirus:Type_37_Strain_GW_[76-19026]:29:+	30	Adenovirus:Type_37_Strain_GW_[76-19026]:724:-	1550	
Adenovirus:Type_37_Strain_GW_[76-19026]:30:+	31	Adenovirus:Type_37_Strain_GW_[76-19026]:725:-	1600	
Adenovirus:Type_37_Strain_GW_[76-19026]:31:+	32	Adenovirus:Type_37_Strain_GW_[76-19026]:726:-	1650	
Adenovirus:Type_37_Strain_GW_[76-19026]:32:+	33	Adenovirus:Type_37_Strain_GW_[76-19026]:727:-	1700	
Adenovirus:Type_37_Strain_GW_[76-19026]:33:+	34	Adenovirus:Type_37_Strain_GW_[76-19026]:728:-	1750	
Adenovirus:Type_37_Strain_GW_[76-19026]:34:+	35	Adenovirus:Type_37_Strain_GW_[76-19026]:729:-	1800	
Adenovirus:Type_37_Strain_GW_[76-19026]:35:+	36	Adenovirus:Type_37_Strain_GW_[76-19026]:730:-	1850	
Adenovirus:Type_37_Strain_GW_[76-19026]:36:+	37	Adenovirus:Type_37_Strain_GW_[76-19026]:731:-	1900	
Adenovirus:Type_37_Strain_GW_[76-19026]:37:+	38	Adenovirus:Type_37_Strain_GW_[76-19026]:732:-	1950	
Adenovirus:Type_37_Strain_GW_[76-19026]:38:+	39	Adenovirus:Type_37_Strain_GW_[76-19026]:733:-	2000	
Adenovirus:Type_37_Strain_GW_[76-19026]:39:+	40	Adenovirus:Type_37_Strain_GW_[76-19026]:734:-	2050	
Adenovirus:Type_37_Strain_GW_[76-19026]:40:+	41	Adenovirus:Type_37_Strain_GW_[76-19026]:735:-	2100	
Adenovirus:Type_37_Strain_GW_[76-19026]:41:+	42	Adenovirus:Type_37_Strain_GW_[76-19026]:736:-	2150	
Adenovirus:Type_37_Strain_GW_[76-19026]:42:+	43	Adenovirus:Type_37_Strain_GW_[76-19026]:737:-	2200	
Adenovirus:Type_37_Strain_GW_[76-19026]:43:+	44	Adenovirus:Type_37_Strain_GW_[76-19026]:738:-	2250	
Adenovirus:Type_37_Strain_GW_[76-19026]:44:+	45	Adenovirus:Type_37_Strain_GW_[76-19026]:739:-	2300	
Adenovirus:Type_37_Strain_GW_[76-19026]:45:+	46	Adenovirus:Type_37_Strain_GW_[76-19026]:740:-	2350	
Adenovirus:Type_37_Strain_GW_[76-19026]:46:+	47	Adenovirus:Type_37_Strain_GW_[76-19026]:741:-	2400	
Adenovirus:Type_37_Strain_GW_[76-19026]:47:+	48	Adenovirus:Type_37_Strain_GW_[76-19026]:742:-	2450	
Adenovirus:Type_37_Strain_GW_[76-19026]:48:+	49	Adenovirus:Type_37_Strain_GW_[76-19026]:743:-	2500	
Adenovirus:Type_37_Strain_GW_[76-19026]:49:+	50	Adenovirus:Type_37_Strain_GW_[76-19026]:744:-	2550	
Adenovirus:Type_37_Strain_GW_[76-19026]:50:+	51	Adenovirus:Type_37_Strain_GW_[76-19026]:745:-	2600	
Adenovirus:Type_37_Strain_GW_[76-19026]:51:+	52	Adenovirus:Type_37_Strain_GW_[76-19026]:746:-	2650	
Adenovirus:Type_37_Strain_GW_[76-19026]:52:+	53	Adenovirus:Type_37_Strain_GW_[76-19026]:747:-	2700	
Adenovirus:Type_37_Strain_GW_[76-19026]:53:+	54	Adenovirus:Type_37_Strain_GW_[76-19026]:748:-	2750	
Adenovirus:Type_37_Strain_GW_[76-19026]:54:+	55	Adenovirus:Type_37_Strain_GW_[76-19026]:749:-	2800	
Adenovirus:Type_37_Strain_GW_[76-19026]:55:+	56	Adenovirus:Type_37_Strain_GW_[76-19026]:750:-	2850	
