sense	number	antisense	bp	
Adenovirus:Type_4_Strain_RI-67:1:+	1	Adenovirus:Type_4_Strain_RI-67:718:-	100	
Adenovirus:Type_4_Strain_RI-67:2:+	2	Adenovirus:Type_4_Strain_RI-67:719:-	150	
Adenovirus:Type_4_Strain_RI-67:3:+	3	Adenovirus:Type_4_Strain_RI-67:720:-	200	
Adenovirus:Type_4_Strain_RI-67:4:+	4	Adenovirus:Type_4_Strain_RI-67:721:-	250	
Adenovirus:Type_4_Strain_RI-67:5:+	5	Adenovirus:Type_4_Strain_RI-67:722:-	300	
Adenovirus:Type_4_Strain_RI-67:6:+	6	Adenovirus:Type_4_Strain_RI-67:723:-	350	
Adenovirus:Type_4_Strain_RI-67:7:+	7	Adenovirus:Type_4_Strain_RI-67:724:-	400	
Adenovirus:Type_4_Strain_RI-67:8:+	8	Adenovirus:Type_4_Strain_RI-67:725:-	450	
Adenovirus:Type_4_Strain_RI-67:9:+	9	Adenovirus:Type_4_Strain_RI-67:726:-	500	
Adenovirus:Type_4_Strain_RI-67:10:+	10	Adenovirus:Type_4_Strain_RI-67:727:-	550	
Adenovirus:Type_4_Strain_RI-67:11:+	11	Adenovirus:Type_4_Strain_RI-67:728:-	600	
Adenovirus:Type_4_Strain_RI-67:12:+	12	Adenovirus:Type_4_Strain_RI-67:729:-	650	
Adenovirus:Type_4_Strain_RI-67:13:+	13	Adenovirus:Type_4_Strain_RI-67:730:-	700	
Adenovirus:Type_4_Strain_RI-67:14:+	14	Adenovirus:Type_4_Strain_RI-67:731:-	750	
Adenovirus:Type_4_Strain_RI-67:15:+	15	Adenovirus:Type_4_Strain_RI-67:732:-	800	
Adenovirus:Type_4_Strain_RI-67:16:+	16	Adenovirus:Type_4_Strain_RI-67:733:-	850	
Adenovirus:Type_4_Strain_RI-67:17:+	17	Adenovirus:Type_4_Strain_RI-67:734:-	900	
Adenovirus:Type_4_Strain_RI-67:18:+	18	Adenovirus:Type_4_Strain_RI-67:735:-	950	
Adenovirus:Type_4_Strain_RI-67:19:+	19	Adenovirus:Type_4_Strain_RI-67:736:-	1000	
Adenovirus:Type_4_Strain_RI-67:20:+	20	Adenovirus:Type_4_Strain_RI-67:737:-	1050	
Adenovirus:Type_4_Strain_RI-67:21:+	21	Adenovirus:Type_4_Strain_RI-67:738:-	1100	
Adenovirus:Type_4_Strain_RI-67:22:+	22	Adenovirus:Type_4_Strain_RI-67:739:-	1150	
Adenovirus:Type_4_Strain_RI-67:23:+	23	Adenovirus:Type_4_Strain_RI-67:740:-	1200	
Adenovirus:Type_4_Strain_RI-67:24:+	24	Adenovirus:Type_4_Strain_RI-67:741:-	1250	
Adenovirus:Type_4_Strain_RI-67:25:+	25	Adenovirus:Type_4_Strain_RI-67:742:-	1300	
Adenovirus:Type_4_Strain_RI-67:26:+	26	Adenovirus:Type_4_Strain_RI-67:743:-	1350	
