sense	number	antisense	bp	
Adenovirus:Type_14_Strain_de_Wit:1361:+	1	Adenovirus:Type_14_Strain_de_Wit:1376:-	100	
Adenovirus:Type_14_Strain_de_Wit:1362:+	2	Adenovirus:Type_14_Strain_de_Wit:1377:-	150	
Adenovirus:Type_14_Strain_de_Wit:1363:+	3	Adenovirus:Type_14_Strain_de_Wit:1378:-	200	
Adenovirus:Type_14_Strain_de_Wit:1364:+	4	Adenovirus:Type_14_Strain_de_Wit:1379:-	250	
Adenovirus:Type_14_Strain_de_Wit:1365:+	5	Adenovirus:Type_14_Strain_de_Wit:1380:-	300	
Adenovirus:Type_14_Strain_de_Wit:1366:+	6	Adenovirus:Type_14_Strain_de_Wit:1381:-	350	
Adenovirus:Type_14_Strain_de_Wit:1367:+	7	Adenovirus:Type_14_Strain_de_Wit:1382:-	400	
Adenovirus:Type_14_Strain_de_Wit:1368:+	8	Adenovirus:Type_14_Strain_de_Wit:1383:-	450	
Adenovirus:Type_14_Strain_de_Wit:1369:+	9	Adenovirus:Type_14_Strain_de_Wit:1384:-	500	
Adenovirus:Type_14_Strain_de_Wit:1370:+	10	Adenovirus:Type_14_Strain_de_Wit:1385:-	550	
Adenovirus:Type_14_Strain_de_Wit:1371:+	11	Adenovirus:Type_14_Strain_de_Wit:1386:-	600	
Adenovirus:Type_14_Strain_de_Wit:1372:+	12	Adenovirus:Type_14_Strain_de_Wit:1387:-	650	
Adenovirus:Type_14_Strain_de_Wit:1373:+	13	Adenovirus:Type_14_Strain_de_Wit:1388:-	700	
Adenovirus:Type_14_Strain_de_Wit:1374:+	14	Adenovirus:Type_14_Strain_de_Wit:1389:-	750	
Adenovirus:Type_14_Strain_de_Wit:1375:+	15	Adenovirus:Type_14_Strain_de_Wit:1390:-	800	
Adenovirus:Type_14_Strain_de_Wit:1:+	16	Adenovirus:Type_14_Strain_de_Wit:681:-	850	
Adenovirus:Type_14_Strain_de_Wit:2:+	17	Adenovirus:Type_14_Strain_de_Wit:682:-	900	
Adenovirus:Type_14_Strain_de_Wit:3:+	18	Adenovirus:Type_14_Strain_de_Wit:683:-	950	
Adenovirus:Type_14_Strain_de_Wit:4:+	19	Adenovirus:Type_14_Strain_de_Wit:684:-	1000	
Adenovirus:Type_14_Strain_de_Wit:5:+	20	Adenovirus:Type_14_Strain_de_Wit:685:-	1050	
Adenovirus:Type_14_Strain_de_Wit:6:+	21	Adenovirus:Type_14_Strain_de_Wit:686:-	1100	
Adenovirus:Type_14_Strain_de_Wit:7:+	22	Adenovirus:Type_14_Strain_de_Wit:687:-	1150	
Adenovirus:Type_14_Strain_de_Wit:8:+	23	Adenovirus:Type_14_Strain_de_Wit:688:-	1200	
Adenovirus:Type_14_Strain_de_Wit:9:+	24	Adenovirus:Type_14_Strain_de_Wit:689:-	1250	
Adenovirus:Type_14_Strain_de_Wit:10:+	25	Adenovirus:Type_14_Strain_de_Wit:690:-	1300	
Adenovirus:Type_14_Strain_de_Wit:11:+	26	Adenovirus:Type_14_Strain_de_Wit:691:-	1350	
Adenovirus:Type_14_Strain_de_Wit:12:+	27	Adenovirus:Type_14_Strain_de_Wit:692:-	1400	
Adenovirus:Type_14_Strain_de_Wit:13:+	28	Adenovirus:Type_14_Strain_de_Wit:693:-	1450	
