sense	number	antisense	bp
Adenovirus:Type_11_Strain_Slobitski:1:+	1	Adenovirus:Type_11_Strain_Slobitski:694:-	100
Adenovirus:Type_11_Strain_Slobitski:2:+	2	Adenovirus:Type_11_Strain_Slobitski:695:-	150
Adenovirus:Type_11_Strain_Slobitski:3:+	3	Adenovirus:Type_11_Strain_Slobitski:696:-	200
Adenovirus:Type_11_Strain_Slobitski:4:+	4	Adenovirus:Type_11_Strain_Slobitski:697:-	250
Adenovirus:Type_11_Strain_Slobitski:5:+	5	Adenovirus:Type_11_Strain_Slobitski:698:-	300
Adenovirus:Type_11_Strain_Slobitski:6:+	6	Adenovirus:Type_11_Strain_Slobitski:699:-	350
Adenovirus:Type_11_Strain_Slobitski:7:+	7	Adenovirus:Type_11_Strain_Slobitski:700:-	400
Adenovirus:Type_11_Strain_Slobitski:8:+	8	Adenovirus:Type_11_Strain_Slobitski:701:-	450
Adenovirus:Type_11_Strain_Slobitski:9:+	9	Adenovirus:Type_11_Strain_Slobitski:702:-	500
Adenovirus:Type_11_Strain_Slobitski:10:+	10	Adenovirus:Type_11_Strain_Slobitski:703:-	550
Adenovirus:Type_11_Strain_Slobitski:11:+	11	Adenovirus:Type_11_Strain_Slobitski:704:-	600
Adenovirus:Type_11_Strain_Slobitski:12:+	12	Adenovirus:Type_11_Strain_Slobitski:705:-	650
Adenovirus:Type_11_Strain_Slobitski:13:+	13	Adenovirus:Type_11_Strain_Slobitski:706:-	700
Adenovirus:Type_11_Strain_Slobitski:14:+	14	Adenovirus:Type_11_Strain_Slobitski:707:-	750
Adenovirus:Type_11_Strain_Slobitski:15:+	15	Adenovirus:Type_11_Strain_Slobitski:708:-	800
Adenovirus:Type_11_Strain_Slobitski:16:+	16	Adenovirus:Type_11_Strain_Slobitski:709:-	850
Adenovirus:Type_11_Strain_Slobitski:17:+	17	Adenovirus:Type_11_Strain_Slobitski:710:-	900
Adenovirus:Type_11_Strain_Slobitski:18:+	18	Adenovirus:Type_11_Strain_Slobitski:711:-	950
Adenovirus:Type_11_Strain_Slobitski:19:+	19	Adenovirus:Type_11_Strain_Slobitski:712:-	1000
Adenovirus:Type_11_Strain_Slobitski:20:+	20	Adenovirus:Type_11_Strain_Slobitski:713:-	1050
Adenovirus:Type_11_Strain_Slobitski:21:+	21	Adenovirus:Type_11_Strain_Slobitski:714:-	1100
Adenovirus:Type_11_Strain_Slobitski:22:+	22	Adenovirus:Type_11_Strain_Slobitski:715:-	1150
Adenovirus:Type_11_Strain_Slobitski:23:+	23	Adenovirus:Type_11_Strain_Slobitski:716:-	1200
Adenovirus:Type_11_Strain_Slobitski:24:+	24	Adenovirus:Type_11_Strain_Slobitski:717:-	1250
Adenovirus:Type_11_Strain_Slobitski:25:+	25	Adenovirus:Type_11_Strain_Slobitski:718:-	1300
Adenovirus:Type_11_Strain_Slobitski:26:+	26	Adenovirus:Type_11_Strain_Slobitski:719:-	1350
