sense	number	antisense	bp	
Adenovirus:Type_5_Strain_Adenoid_75:1423:+	1	Adenovirus:Type_5_Strain_Adenoid_75:1425:-	100	
Adenovirus:Type_5_Strain_Adenoid_75:1:+	2	Adenovirus:Type_5_Strain_Adenoid_75:712:-	150	
Adenovirus:Type_5_Strain_Adenoid_75:2:+	3	Adenovirus:Type_5_Strain_Adenoid_75:713:-	200	
Adenovirus:Type_5_Strain_Adenoid_75:3:+	4	Adenovirus:Type_5_Strain_Adenoid_75:714:-	250	
Adenovirus:Type_5_Strain_Adenoid_75:4:+	5	Adenovirus:Type_5_Strain_Adenoid_75:715:-	300	
Adenovirus:Type_5_Strain_Adenoid_75:5:+	6	Adenovirus:Type_5_Strain_Adenoid_75:716:-	350	
Adenovirus:Type_5_Strain_Adenoid_75:6:+	7	Adenovirus:Type_5_Strain_Adenoid_75:717:-	400	
Adenovirus:Type_5_Strain_Adenoid_75:7:+	8	Adenovirus:Type_5_Strain_Adenoid_75:718:-	450	
Adenovirus:Type_5_Strain_Adenoid_75:8:+	9	Adenovirus:Type_5_Strain_Adenoid_75:719:-	500	
Adenovirus:Type_5_Strain_Adenoid_75:9:+	10	Adenovirus:Type_5_Strain_Adenoid_75:720:-	550	
Adenovirus:Type_5_Strain_Adenoid_75:10:+	11	Adenovirus:Type_5_Strain_Adenoid_75:721:-	600	
Adenovirus:Type_5_Strain_Adenoid_75:11:+	12	Adenovirus:Type_5_Strain_Adenoid_75:722:-	650	
Adenovirus:Type_5_Strain_Adenoid_75:12:+	13	Adenovirus:Type_5_Strain_Adenoid_75:723:-	700	
Adenovirus:Type_5_Strain_Adenoid_75:13:+	14	Adenovirus:Type_5_Strain_Adenoid_75:724:-	750	
Adenovirus:Type_5_Strain_Adenoid_75:14:+	15	Adenovirus:Type_5_Strain_Adenoid_75:725:-	800	
Adenovirus:Type_5_Strain_Adenoid_75:15:+	16	Adenovirus:Type_5_Strain_Adenoid_75:726:-	850	
Adenovirus:Type_5_Strain_Adenoid_75:16:+	17	Adenovirus:Type_5_Strain_Adenoid_75:727:-	900	
Adenovirus:Type_5_Strain_Adenoid_75:17:+	18	Adenovirus:Type_5_Strain_Adenoid_75:728:-	950	
Adenovirus:Type_5_Strain_Adenoid_75:18:+	19	Adenovirus:Type_5_Strain_Adenoid_75:729:-	1000	
Adenovirus:Type_5_Strain_Adenoid_75:19:+	20	Adenovirus:Type_5_Strain_Adenoid_75:730:-	1050	
Adenovirus:Type_5_Strain_Adenoid_75:20:+	21	Adenovirus:Type_5_Strain_Adenoid_75:731:-	1100	
Adenovirus:Type_5_Strain_Adenoid_75:21:+	22	Adenovirus:Type_5_Strain_Adenoid_75:732:-	1150	
